rpid,name,content,like,rcount
2046230820,有只蜘蛛叫奈特,像这种视频长，标题生硬，不和大家打招呼，视频一股花里胡哨的，看着看着就突然结束的up，我tm反手一个关注，这tm不比那些跟营销号似的开场bb，放音乐时候bb结束还要bb一个视频死长死长死长还没多少东西的玩意好多了嘛！,6154,70
2048051495,钟离玉雪,快把我的意大利……面拿过来请友军品尝,132,0
2049345908,老朽不才,快把我的意大利炮..........友拿出来给友军玩玩,322,0
2054437533,给你一条x,快把我的青龙偃月刀拿出来……给友军削个苹果,66,0
2061425557,fimiger,你个b…………………………站用户,131,0
2068769760,伊江痕,你M勒隔…夜茶一定不要喝,68,0
2070917189,丨佩罗罗奇诺丨,厚葬友军,18,0
2073587016,八方秋源楔,你她妈的……身体还好吧?,54,0
2075405466,柒玖在米兰当老铁匠,妈的智。。。。勇双全,64,0
2076819099,剑雅-莫离骚,来人赶紧把敌人的衣服给他换上,35,0
2076854278,枫灬华,3级就有这觉悟了?   你到底是谁的小号,24,0
2046066279,丶陌路君,最可怕的是，现在想听全这歌，至少要4个音乐播放APP。悲伤啊,2894,104
2047307709,是鸟哥呀,2007年的周董，自己出了《我很忙》专辑，他忙于自编自导自演一部可能自己永远都无法超越的《不能说的秘密》；他忙于在唱功巅峰之际举办世界巡回演唱会；他忙于一人承包整个电影的全部原声带；他忙于给陈奕迅写淘汰、给张韶涵写亲爱的那不是爱情、给张惠妹写如果你也听说、给容祖儿写小小，最后想问一句，杰伦，啥时候出新专辑呢？？？,1637,34
2048808357,爱吃西瓜皮跟籽,出了。。。一首。。[无语],28,0
2049870788,斯_如素,07年是真的产量又高涉猎又广，难怪要出专辑《我很忙》，简直忙疯了[微笑],192,0
2052833593,Fantasy0114,还开了杰威尔公司当自己的老板！2007年周董超忙！[笑哭],112,0
2062634237,犭苗口米,回复 @青阳主君吕归尘 :新专？奶茶他不好喝么，是哥们走一个吨吨吨,28,0
2079577316,情伤何时痊愈,循环了无数遍的电影，横扫了当年湾湾的一众奖项。,31,0
2080712297,人间如寄,给张韶涵的10分钟，不能作为忙的理由[滑稽][滑稽],58,0
2084341893,最后只剩猫陪我,杰伦:咕咕咕咕咕，懂？,17,0
2086388363,隼人,所以周董才是天才，近代那些个奇葩欺负人不听华语乐坛了，问题还有一群傻子跟风说蔡某鲲的好听，呵呵哒,45,0
2089535086,十万个小屁孩,可能写好了给嫂子听嫂子不喜欢就不发了,9,0
2094222430,我是一只特立独行的猪猪女孩,我的天今天才知道07年这些歌都是杰伦作曲的，都是我超喜欢的歌![笑哭][笑哭][笑哭],26,0
2099768349,周泽楷的老婆三木,回复 @十万个小屁孩 :哈哈哈,0,0
2103855163,nikababa,结果给别人写的那几首歌都是我最喜欢的别人的歌,22,0
2117376567,燕儿ban,这么一看，确实太忙了，也太屌了吧,16,0
2126167595,昵称是酱油的大黄狗,回复 @犭苗口米 :来我请客，哥们咱干一个带椰果的，吨吨吨[doge],2,0
2133912429,桃桃奶绿真好喝,07年的杰伦真的忙啊,16,0
2181917216,琅琊山伯爵,那年他拍的广告最多，再加上电影和专辑的宣传[偷笑],10,0
2281920383,bili_90130274869,回复 @斯_如素 :高产量，但质量也是非常高。哈哈,12,0
2281922987,bili_90130274869,回复 @十万个小屁孩 :嫂子今年新电影，结果除了说好不哭，杰伦又出了一首新歌我是如此相信。[喜极而泣],7,0
2285125886,怎样才能娶到白客,哇，原来这么多好听的歌也有杰伦参与[惊讶][惊讶][惊讶],3,0
2298092980,恭喜这个畀站用户,先出来个能打的 我在出新专,2,0
2302904698,虚设良辰,要用忙碌来掩盖对佩岑的思念,2,0
2519941898,夏天的柚子小姐姐,因为哥哥失恋了，要用工作麻痹自己，小说都是这样写男主的[微笑][微笑],12,0
2532355148,大石剪刀,还有晴天娃娃,4,0
2634576731,real_27y,真的很忙了哈哈哈,3,0
2795857890,ii好糊弄,cp脑真的有点恶心,5,0
2901592283,Trust丶白夜,第一次知道这些歌是他写的[微笑],1,0
2955728145,墨念秀儿,回复 @Trust丶白夜 :所以周董是鬼才啊,1,0
3618057678,听雪a,回复 @隼人 :别说了20年的大部分都是“合成”歌了，一首能抄三四首呢，光点呵呵了,1,0
3708386890,天之痕TT,"有什么办法，失恋只能用工作代替了
淘汰都不唱了，丢给医生",0,0
4146249464,枫zwww,给张韶涵写的歌10分钟可以忽略不计,0,0
5151272955,49558453205_bili,回复 @品酒客丶 :咪咕[呲牙],0,0
5267957637,人活着就是为了木更,杰伦：我在玩,0,0
98910609200,Myhusband1,回复 @情伤何时痊愈 :我也是，放到现在都非常优秀，,0,0
105620899024,铜锣湾头旅游我,回复 @隼人 :还是那句话多关注华语乐坛，华语才是最屌的！！！,0,0
2047085397,小力哔哔哔,以前华语乐坛是不知道听谁的好，现在也是不知道听谁的好。没变啊！没毛病！😂,1190,20
2045880764,大佬鼠啊,在看2006年神曲时，这刚发布，真巧[支持],923,23
2048179534,MagiaYan,经历了鸡你太美和大碗宽面的洗礼，现在我想对凤凰传奇说一声对不起,1181,22
